threshold,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis
0.6,0.6868131868131868,0.6814678102269026,0.6553191489361702,0.6311475409836066,0.6430062630480167,0.6503378378370198,0.7425293127782,442,162,180,308,34180.21978021978,0.49253047629283164,0.52,True,True
0.62,0.6840659340659341,0.6768198349799153,0.6585365853658537,0.6086065573770492,0.6325878594249201,0.6479057591614659,0.7425293127782,450,154,191,297,32492.30769230769,0.49253047629283164,0.54,True,True
0.65,0.6611721611721612,0.6494341005319726,0.6446078431372549,0.5389344262295082,0.5870535714285714,0.6202830188670385,0.7425293127782,459,145,225,263,30593.406593406595,0.49253047629283164,0.5700000000000001,True,True
0.68,0.6364468864468864,0.6184249810009771,0.6311239193083573,0.4487704918032787,0.5245508982035928,0.5836886993593788,0.7425293127782,476,128,269,219,27006.593406593405,0.49253047629283164,0.6000000000000001,True,True
0.7,0.6355311355311355,0.6154326348930627,0.6380368098159509,0.4262295081967213,0.5110565110565111,0.580357142856152,0.7425293127782,486,118,280,208,24896.703296703297,0.49253047629283164,0.62,True,True
0.72,0.6391941391941391,0.6161858104440343,0.6587837837837838,0.39959016393442626,0.49744897959183676,0.5831339712908327,0.7425293127782,503,101,293,195,21309.89010989011,0.49253047629283164,0.64,True,True
0.75,0.6263736263736264,0.5984963630441863,0.6612903225806451,0.3360655737704918,0.44565217391304346,0.5540540540529489,0.7425293127782,520,84,324,164,17723.076923076926,0.49253047629283164,0.67,True,True
0.78,0.6327838827838828,0.6001587775485833,0.7185929648241206,0.2930327868852459,0.4163027656477438,0.556853582553339,0.7425293127782,548,56,345,143,11815.384615384615,0.49253047629283164,0.7000000000000001,True,True
0.8,0.63003663003663,0.5955108023015959,0.7333333333333333,0.27049180327868855,0.39520958083832336,0.5463576158928359,0.7425293127782,556,48,356,132,10127.472527472528,0.49253047629283164,0.7200000000000001,True,True
0.82,0.6391941391941391,0.6004437628921941,0.8455882352941176,0.23565573770491804,0.3685897435897436,0.5571705426344127,0.7425293127782,583,21,373,115,4430.769230769231,0.49253047629283164,0.74,True,True
0.85,0.6217948717948718,0.578812018239062,0.8947368421052632,0.17418032786885246,0.2915951972555746,0.4896313364042994,0.7425293127782,594,10,403,85,2109.89010989011,0.49253047629283164,0.77,True,True
0.88,0.6117216117216118,0.5673447508413852,0.8902439024390244,0.14959016393442623,0.256140350877193,0.44730392156742554,0.7425293127782,595,9,415,73,1898.901098901099,0.49253047629283164,0.8,True,True
0.9,0.5998168498168498,0.5538283031158397,0.8805970149253731,0.12090163934426229,0.2126126126126126,0.3902116402104961,0.7425293127782,596,8,429,59,1687.9120879120878,0.49253047629283164,0.8200000000000001,True,True
