epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f0_5,val_roc_auc,val_false_alarms_per_hour,val_best_threshold,lr,focal_gamma,swa_active
18,0.039761733529823165,0.24892065972089766,0.684981684981685,0.6798121810878297,0.652542372881356,0.6311475409836066,0.6416666666666667,0.6481481481473322,0.6827366735425036,34602.1978021978,0.78,0.0003,1.5,False
19,0.05075939842278049,0.14020706266164779,0.6062271062271062,0.6078330257301053,0.5527272727272727,0.6229508196721312,0.5857418111753372,0.5654761904754476,0.6396733525132994,51903.296703296706,0.38,0.0003,1.5,False
20,0.04002674775464194,0.15224834606051446,0.6190476190476191,0.599941645858213,0.606508875739645,0.42008196721311475,0.4963680387409201,0.5570652173903299,0.6405384865921181,28061.53846153846,0.65,0.0003,1.5,False
21,0.04951092476646105,0.14461967796087266,0.6217948717948718,0.5986863532732603,0.6262626262626263,0.38114754098360654,0.47388535031847134,0.5548926014309491,0.6329728042557811,23419.78021978022,0.62,0.0003,1.5,False
22,0.0338950456962699,0.16531777940690517,0.6025641025641025,0.5805151449354033,0.5870967741935483,0.3729508196721312,0.45614035087719296,0.5266203703693572,0.6201111442840082,27006.593406593405,0.58,0.0003,1.5,False
23,0.03794038171569506,0.15871737599372865,0.6217948717948718,0.6228897513842145,0.569060773480663,0.6331967213114754,0.5994180407371484,0.580827067668424,0.6618343556617088,49371.428571428565,0.5,0.0003,1.5,False
24,0.04590448045304844,0.15544473752379417,0.6355311355311355,0.6480973835631311,0.5683890577507599,0.7663934426229508,0.6527050610820244,0.5993589743583146,0.6523857344479428,59920.87912087912,0.48,0.0003,1.5,False
25,0.04561993328943139,0.14756008386611938,0.6382783882783882,0.6427098034958203,0.5808695652173913,0.6844262295081968,0.6284101599247413,0.5989956958385894,0.6585027412875908,50848.35164835164,0.48,0.0003,1.5,False
26,0.04159217363312131,0.14069695584475994,0.608058608058608,0.6112596352187603,0.5530035335689046,0.6413934426229508,0.5939278937381404,0.568677325580666,0.6524976929757897,53380.219780219784,0.43,0.0003,1.5,False
27,0.03490442077496222,0.19892132431268691,0.6309523809523809,0.647500271414613,0.5608011444921316,0.8032786885245902,0.6604886267902275,0.5968331303282346,0.655079524481598,64773.62637362637,0.6,0.0003,1.5,False
28,0.033911307608442645,0.15215508192777633,0.6529304029304029,0.655954836608403,0.5974955277280859,0.6844262295081968,0.6380133715377269,0.6130690161519814,0.6661159211811963,47472.52747252747,0.48,0.00015,1.5,False
29,0.0412707586905786,0.15637335628271104,0.6492673992673993,0.6498887200086853,0.5981308411214953,0.6557377049180327,0.6256109481915934,0.608828006087524,0.6466385300184562,45362.63736263736,0.5,0.00015,1.5,False
30,0.03852158115201053,0.14963192194700242,0.6144688644688645,0.609773640212789,0.5690721649484536,0.5655737704918032,0.5673175745118191,0.5683690280057867,0.6400227988274889,44096.703296703294,0.45,0.00015,1.5,False
